modern;traditional
зарегистрировать;зарегистри́ровать
зарежет;зарѣ́жетъ, зарѣ́жете, зарѣ́жемъ, зарѣ́жешь, зарѣ́жутъ
зарезал;зарѣ́залъ
зарезанный;зарѣ́занный
зарезать;зарѣ́зать
зарекаться;зарека́ться (заре́чься)
зарёкшемуся;зарёкшемуся
зарёкшийся;зарёкшійся
заречёшься;заречёшься
заречные;зарѣ́чные (м. р.), зарѣ́чныя (ж. р. и ср. р.)
заречный;зарѣ́чный, зарѣ́чнаго, зарѣ́чное
заречье;зарѣ́чье
заречься;заре́чься (дать заро́къ, обѣща́ніе не дѣ́лать чего́-либо впре́дь)
зарёю;зарёю
заржавеет;заржавѣ́етъ
заржавелый;заржавѣ́лый
заржаветь;заржавѣ́ть
заржёт;заржётъ, заржёте
заробеть;заробѣ́ть
зародыш;заро́дышъ, въ заро́дышѣ (въ са́момъ нача́лѣ, въ зача́точномъ состоя́ніи)
зароет;заро́етъ (зары́ть), заро́ете
зарождаться;зарожда́ться и заражда́ться
зарождение;зарожде́ніе
зарождённый;зарождённый
заронённый;заронённый
заросль;за́росль, за́росли, за́рослей
зарплата;зарпла́та, при зарпла́тѣ, жа́лованье
за рубеж;за рубе́жъ (уѣ́хать за рубе́жъ)
зарубеж;зарубе́жъ (рабо́тать на зарубе́жъ)
зарубежная;зарубе́жная
зарубежное;зарубе́жное
зарубежные;зарубе́жные (м. р.), зарубе́жныя (ж. р. и ср. р.)
зарубежный;зарубе́жный, зарубе́жнаго
за рубежом;за рубежо́мъ (находи́ться за рубежо́мъ)
зарубежье;зарубе́жье
зарубленный;зару́бленный
заручённый;заручённый
заручье;зару́чье
зарыжеть;зарыжѣ́ть
заря;заря́, зоря́, зарёю, на зарѣ́
зарядье;заря́дье
заряженный;заря́женный, заря́женнаго
заряжённый;заряжённый, заряжённаго
засаженный;заса́женный, заса́женнаго
засахаренный;заса́харенный, заса́хареннаго
